Country,Name,Renault Scenic,BMW 5-series,Peugeot 3008,Kia EV9,Volvo EX30,BYD Seal,Toyota C-HR,Link,VoteDetails
,Guy L'Hospital,7,4,5,3,3,1,2,https://www.caroftheyear.org/votaciones/guy-lhospital.php?1726491866,"My judgement is based on following grounds:
BMW 5-series
With its multi-energy platform, the BMW 5-series offers a wide range of versions. The 100% electric i5 model makes no compromises, either in terms of driving pleasure or in terms of performance, but the price is not within the reach of everyone. At this price, an 800-volt architecture for faster charging would have been welcome. I'd also like to see less complex ergonomics and rear-seat space worthy of the best electric cars in the category.
BYD Seal
This Tesla rival has a lot of good qualities. Starting with its precise handling, (maybe too reactive on a small bumpy road...), the Seal is fun to drive particularly with the 390 kW four-wheel drive version. The rear passenger space is correct but the boot isn't practical. Above all, it's not been sold at a competitive price. It lacks a trip planner witch is a major drawback for a car designed for long journeys. It has a good range, but the charging power is limited to a 150 kW.
Kia EV9
The different awards won by the Kia EV9 across the Atlantic prove the value of this big SUV, which keep people either love or hate. Its 800-volt architecture makes it easy to charge its large 100 kWh battery. However, its range is only 300 km on the motorway because it is heavy. The materials and assembly are of high quality and it has a good interior space and it is very adaptable. However, this is a niche product for the European market.
Peugeot 3008
It has been created to seduce the driver with its streamlined styling and dashboard topped by a large curved screen. The new 3008 boasts a good range that means motorway journeys need minimal planning. Most importantly, Peugeot hallmark driving precision is still here. However, it is heavy and this has an impact on performance and driving pleasure. The backseats are also cramped. We can't wait for the 5008. Thanks for the 8-year warranty.
Renault Scenic
There are two ways of understanding the Renault Scenic. Firstly as a Megane E-Tech +, secondly as a pleasant, comfortable car with enough range to become the main family car. This is how I would position it. I particularly liked the trip planner, the ergonomics, the glass roof and the excellent voice control. Above all, the lightweight could be an advantage for this electric cars in the future.
Toyota C-HR
There is no doubt that the new C-HR will be a success in the European market. It has improved its driving precision and comfort from the previous model. However, il has the same weaknesses : small passenger and boot space, irritating alerts with are note easy to stop. The two full hybrids are unpleasant to drive on the motorway or in the mountains and the PHEV is expensive.
Volvo EX30
This little SUV is full of charm with a simple dashboard. However, it is difficult to use as it needs some compromises. For example, it's difficult to keep the navigation screen in front of you if you want to do something else on the car's single screen. Fuel consumption is higher than hoped and the range in real traffic conditions is less than 350 km. In France, without price incentives, the price/performance ratio isn't so attractive."
,Yves Maroselli,6,5,5,2,3,1,3,https://www.caroftheyear.org/votaciones/yves-maroselli.php?1726491866,"My judgement is based on following grounds:
BMW 5-series
The BMW 5-series is a premium sedan/wagon offering a highly enjoyable driving experience and a very wide range of powertrains (mHEV, PHEV or BEV, from 208 to 601 hp). The 550e plug-in hybrid for example combines in an almost perfect manner pure electric propulsion for urban commuting with a powerful 6 cylinder for the road. It is also safe and agile thanks to its four wheel steering system.
BYD Seal
The Seal offers a lot for its price: It looks nice, has a very decent range and a brighter and roomier interior than most of the competition. Its build quality is good but doesn't really feel premium. It is also very heavy and can't charge as fast as its main rivals. Finally, the car's dynamics are disappointing on uneven or rough roads.
Kia EV9
The EV9 is excellent for a family of 7. Its impressive range ensures that family vacations are within reach, especially when the route includes fast chargers, where the EV9 can replenish its battery at an impressive rate (up to 210 kW). However, in practical terms, this Korean SUV seems oversized for the European road network, making parking and maneuvering challenging in many city centers.
Peugeot 3008
The Peugeot 3008 offers versatility with options for mild hybrid, plug-in hybrid, and electric models. While the interior boasts an appealing design, it may not deliver the spaciousness one might anticipate from an SUV of its size. The 3008 carries a considerable weight, noticeable during driving, as it lacks the agility typically associated with the Peugeot brand.
Renault Scenic
The newest Scenic has emerged as a highly capable electric crossover. Its impressive roominess-to-size ratio, paired with a notable range of up to 625 km, positions it as a practical option for daily commutes and extended vacation trips. Additionally, by the end of the year, the Scenic will introduce V2G capability, offering the potential for its owner to significantly reduce electricity costs.
Toyota C-HR
The Toyota C-HR looks even bolder than its predecessor and is now available in a 223 hp PHEV version, providing a pure electric range suitable for most daily commutes. While efficient, it falls short in delivering a particularly enjoyable driving experience. Rear visibility has improved but still poses challenges, and the navigation of infotainment and driving aids menus can be complex.
Volvo EX30
The EX30 is a powerful and fun to drive electric urban SUV. It comes at a premium price but lacks the build quality and some equipment like a Head-Up Display (HUD) or instrument panel you could expect from a brand like Volvo. The innovative human-machine interface can be challenging for the driver to read and comprehend and the car offers less legroom for rear passengers than some of its rivals."
,Stèphane Meunier,7,3,6,2,3,2,2,https://www.caroftheyear.org/votaciones/stephane-meunier.php?1726491866,"My judgement is based on following grounds:
BMW 5-series
Not everybody needs a 5 meters long sedan. And less may afford a BMW 5-series with a 62 800€ entry level price. Also, its more modest versions (petrol 520i and diesel 520d) convince more with fuel efficiency and smooth riding than enjoying handling or upper class finish. But the upper versions like the 550e L6 PHEV or the electric i5 M60 are incredible Jekyll & Hyde machines that easily defeat its E-Class rivals. Something MB did not allow before
BYD Seal
After driving the Atto 3 and Dolphin, L'Automobile's team was not expected much from the Seal. But testing both the 4WD and the cheaper rear wheel drive version were nice surprises. This BYD does all you expect from a Model 3 without imposing the Tesla's quirky interface and poor finish. But the Chinese sedan has few dealers in France and can't rely on a dedicated fast charging network. Also, the very soft damping rebound should be tweaked.
Kia EV9
Hyper roomy, versatile as a MPVs before, the EV9 is also full of clever details that will make its 5 or 6 passengers happy. The driver is not hapless as the driving is pleasant regarding weight and size of this EV. But this Kia appears better suited for hotel shuttle purpose than the perfect « big family » car role because of electricity refill on long distance and entry price (78 000 euros) despite being cheaper than the competition.
Peugeot 3008
It's smart that the 3008 offers both mild hybrid/plug-in engines an full electric (front wheel drive/4WD, 73 or 98 kWh). But it also leads to a very heavy car : 170 extra kilos on the hybrid e-DCS6 vs. today ! About 2183 kg for the E-3008 73 kWh. Yes, engineers did their best to hide it on the steering wheel. And riding/silence is improved as the new dashboard is both spectacular and convenient. But rear room is limited and agility is no more the 3008's credo.
Renault Scenic
Driving the new Scenic 87 kWh is half surprise as it is linked to the convincing Megane E-tech. Same IHM and efficient trip planner, same kind of engine and a huge dealers network with a 1st rate after-sale service. But the other half of the Scenic is very consistent : bigger and more efficient battery, competitive prices, enough room for a family and luggage and still a very good balance between comfort and handling. At last, a very capable EV.
Toyota C-HR
The new C-HR retains everything that made its predecessor successful: bold design, hybrid engines -even more efficient- and a 3 year warranty. Interior, trims and riding have improved. Driving is pleasing despite intrusive ADAS and complicated menus. Also rear passengers should again not be demanding. But above all, among the Toyotas in this 2024 COTY election, the Prius appears even more relevant.
Volvo EX30
Volvo rising came mainly from its cozy interiors, good comfort and clever IHM with safety and practicality in mind. Exterior design was also an asset, something the EX30 took advantage in 4,23m. Also its driving can be cool to sporty but depending on models, riding goes from firm to correct. Also quirky interface, different bugs, cheap plastics, wind noises and poor rear leg room turn this EX30 into an incomplete EV despite premium prices."
,Sylvain Reisser,7,6,5,3,1,1,2,https://www.caroftheyear.org/votaciones/sylvain-reisser.php?1726491866,"My judgement is based on following grounds:
BMW 5-series
Admittedly, the BMW 5-series is not for everyone, but it fully deserves second place in my ranking because it is undoubtedly the most pleasant to drive, regardless of the engine, and undoubtedly the finalist with the most technology. BMW really masters its subject even with the electric versions. The 5-series lets you choose the energy that suits you best : diesel, petrol, plug-in hybrid, and pure electric.
BYD Seal
The poster is enticing : a well-designed line, a finish and materials in the average of the segment, more than respectable power and performance. In use, the BYD Seat admits its limitations. Beyond disappointing charging performance, I consider that the road handling is far from being up to par. At high speeds, the driver may be surprised by unpredictable oversteer.
Kia EV9
With the EV9, we find most of the characteristics of the EV6 sedan elected Car of the year, but due to its size, this large electric SUV that can accommodate up to 7 people is not made for the European markets. In addition, its overall prestation are of high quality.
Peugeot 3008
The new 3008 leaves me with a mixed impression. You don't have the feeling of novelty like you had with the older generation. The performance is of high quality, but the pleasure suffers from too much weight and the ergonomics of the new i-cockpit can always be improved, in our opinion.
Renault Scenic
By awarding the best score to the Renault Scenic, I wanted to reward the manufacturer's work. In addition to its particularly competitive quality/price ratio, there is remarkable comfort and particularly satisfactory performance, both in terms of weight control, fun to drive, autonomy and charging times. It's clear that the Scenic has been developed on an electric platform.
Toyota C-HR
Underneath a spectacular look, the C-HR doesn't present a revolution. It is simply an evolution of the concept that now has the merit of being offered in a plug-in hybrid version. Driving pleasure with the 1.8- and 2-litre hybrid versions still has to cope with the runaway engine.
Volvo EX30
Is it still a Volvo? The question arises. In the end, the promise of driving a ""premium"" car is not kept. The price is high for such a small size and an interior quality that does not meet Volvo standards and ergonomics that has succumbed to the Tesla syndrome. Rather than going for the power that is useless on a vehicle of this vocation, Volvo should have taken care of the prestation on board."
Germany,Holger Appel,4,10,0,3,5,0,3,https://www.caroftheyear.org/votaciones/holger-appel.php?1726491866,"My judgement is based on following grounds:
BMW 5-series
Excellent and safe driving behavior, Bavaria obviously has a top-professional handling department and they are still taking care of. Quality on highest level. Vast variety of models and engines, including Touring and EV. Innovative, sporty, comfortable, and yes, expensive, but worth it. By far the best car in this years final.
BYD Seal
I like the design outside, not so much inside. Quality seems to be okay. I was surprised by the tricky behavior on the test circuit. Due to light rain the surface was slippery, the BYD reacted nervous while accelerating and even more on the brakes. Steering is indifferent. I lost confidence on higher speeds. Too many warn signs, the permanent ding-dong drives you crazy. To be in the Final is a huge success for BYD, but this is not (yet) a car of the year.
Kia EV9
A brave car. Roominess is excellent, the Design attractive. Usable without mystery. Drives safe and comfortable, but the cabin shakes like a boat in tight corners. Drivetrain maybe to weak for the heavy weight. Should have a four wheel steering. Too many warnings. Consumption is high. I like the EV 9.
Peugeot 3008
CEO Linda Jackson says: Customer first. Okay, if the customer wants just another SUV (Coupé), fair enough. It drives comfortable, although you feel in every moment the weight of up to 2,2 tons. In the driver seat, you rather sit on the car than in the car. I don't see any innovation, in fact, I don't understand this 3008. Peugeot had and, i am sure, will have better ideas.
Renault Scenic
Renault took anything away what made a Scenic a Scenic. The complete loss of Monospaces in the model range is a mistake. Besides the lack of modularity, the new Scenic is the better Mégane. It is roomy with much space around the two usable back seats. Driving is effortless, comfortable and safe. It is much lighter than the Peugeot, the Renault fits pretty well in every day use. Some material look and feel too dreary. EV cars are never cheap, this one seems to be an attractive offer.
Toyota C-HR
A huge argument for the Toyota is its price. It is affordable, Quality is typical Japanese level. The idea of the hybrid is good, but driving with it outside the city is not so funny. PHEV drives better, but more expensive, and does the concept has a future? Besides, a C-HR like a C-HR, with dynamic design. No possibility to see anything backwards. I like the Toyota, but it is probably not the most attractive car in the final.
Volvo EX30
The concept is the most positive surprising one in the field, the outside design awesome. On the other hand: Interior with only one iPad for every information in the middle is not at all practical and not at all safe. Difficult to use. Driving behavior is fine, but the car feels basically like a Chinese EV and is maximum half a Volvo. Some material look an touch like reused crispbread. Even considering the climate argument: Just less of everything is probably not enough for a brand like Volvo with its history. Nevertheless i felt well and relaxed while cruising, the EX 30 seems to be an attractive city solution. Expensive."
,Alexander Bloch,6,9,2,3,4,0,1,https://www.caroftheyear.org/votaciones/alexander-bloch.php?1726491866,"My judgement is based on following grounds:
BMW 5-series
Brilliant car that drives great and remains efficient despite its size
BYD Seal
Interesting car with an innovative battery, but some weaknesses. Especially when it comes to driving stability and therefore driving safety
Kia EV9
Very spacious, modern, good comfort and driving characteristics - just too big and therefore not very efficient
Peugeot 3008
A big, safe driving car. A bit limited space in relation to the size and ergonomic weaknesses
Renault Scenic
Very pleasant and comfortable car to drive. Spacious - but not as versatile as the old one.
Toyota C-HR
Efficient drive train - but the new Prius would have been the better choice for the shortlist
Volvo EX30
Pretty and modern car with soft, comfortable suspension. However, I miss some typical Volvo strengths, for example in terms of usability and steering feel."
,Hanno Boblenz,5,10,5,1,4,0,0,https://www.caroftheyear.org/votaciones/hanno-boblenz.php?1726491866,"My judgement is based on following grounds:
BMW 5-series
Combustion engine and electric, saloon and estate, top chassis, dynamics and comfort - BMW takes the 5-series to a new level and offers solutions for all requirements in one model. Outstanding for me: operation, infotainment and everything to do with HMI. Full points as I want to pick one winner
BYD Seal
For me personally, the Seal is too much. Sure, the drive and load behavior are perfectly ok, but the Chinese still have some catching up to do when it comes to the chassis, steering and tuning of the driving assistants.
Kia EV9
No question, a great car: spacious, easy to operate, good performance, quick to charge. But in my eyes too big to make it onto the podium at Car of the Year.
Peugeot 3008
Very convincing modular platform. Great: the new i-Cockpit. For the size of the car, however, the amount of space doesn't quite convince me. +: 22 kw charging
Renault Scenic
Convinces me above all with its outstanding spaciousness. A good offer in the most sought-after segment and balanced in all characteristics. + charging with 22 kW as standard.
Toyota C-HR
Toyota can do economical drives, but the concept of the C-HR doesn't make sense to me, even in the second generation: why have a back seat if you're sitting there like in a cave? If it were the new Prius, it would have scored points with me.
Volvo EX30
I'm a fan of Scandinavian design, which is why I think the Volvo looks very good. Great: the woolen fabric look and the approach of using sustainable materials wherever possible. But in terms of operation (HMI) and driving performance, the small car simply overshoots the mark."
,Stefan Cerchez,3,9,3,3,4,1,2,https://www.caroftheyear.org/votaciones/stefan-cerchez.php?1726491866,"My judgement is based on following grounds:
BMW 5-series
A car that stands out - from the other finalists, but also in its segment. Handling, agility and comfort rank among the best you can get for your money, and although that means a lot of money, the 5-series is worth it. Be it the efficient 520d, the dynamic 550e or the fully electric i5: With its new multi-drive platform BMW raises the bar once more - although we do miss the i-drive controller.
BYD Seal
First impression: A nicely designed and well-riding car with spacious interior. Also very fast, but its chassis does not fit the powerful drivetrain. Brakes and suspension (including stability control) need some readjustment to match the performance potential. Menus and Apps don't make effective use of the large swiveling touchscreen.
Kia EV9
The Koreans show how far they can go with their E-GMP-Platform. In case of the EV9 that gets you an enormously big, heavy and powerful electric SUV with an WLTP-Range of almost 500 Kilometers. That said, it's still two inches shorter than the BMW, but seats up to seven! So it might actually be the perfect electric family car for some people - if they can spare around 80.000 Euro.
Peugeot 3008
As the BMW, the new 3008 is available with well driving electric and mild-hybrid-powertrains, which all fit the STLA-Medium platform. In relation to its size and shape, the 3008 turns out to be quite spacious and has a well-crafted interior. The i-cockpit (steering wheel below instruments) is still not made for everyone, but usability is better than in previous versions.
Renault Scenic
The new all electric Scenic is, well, not a Scenic anymore. Renault kept the well-established nameplate, but dropped many practical features that made the Scenic special before. Then again, its lighter compared to the E-3008 and offers loads of trunk and interior space, even though it's a bit shorter than its French rival.
Toyota C-HR
First of all, the new C-HR is NOT a bad car - it drives like a Toyota should, is economical, right-sized and still affordable. But then it's just the second-generation C-HR, with no major changes in concept or technology. Nothing wrong with that - sales figures indicate that Toyota should indeed stay with that recipe.
Volvo EX30
A Volvo unlike any other Volvo so far! Fully electric, compact, and affordable - well, sort of. Yes, it does some things differently and we're not so sure about the lacking dials for the driver (only a central screen). But its fast, rides well and quite comfortable. The EX 30 is simply an attractive addition to the compact segment."
,Frank Mertens,4,8,3,1,5,2,2,https://www.caroftheyear.org/votaciones/frank-mertens.php?1726491866,"My judgement is based on following grounds:
BMW 5-series
Not everyone wants to drive purely electrically. That's why BMW also offers the 5-series as a classic combustion engine and plug-in hybrid alongside the i5. But once you've driven the i5, that's all you want to do. The overall package is excellent: the efficiency is outstanding, the power delivery is sporty, the chassis is beyond criticism. The quality of the interior is premium - which also applies to the price. The Touring will coming soon.
BYD Seal
The Seal looks stylish and is well made. This puts him on a par with the competition. This also applies to the performance of the E-Motors. On the positive side, the 82 kWh lithium iron phosphate battery does not contain any cobalt, nickel or cadmium. The suspension tuning, however, is not very convincing: on the road, it still feels harmonious, but when driving fast on the test track, it is very spongy/unprecise. Too bad.
Kia EV9
The EV9 is from a technical point of view top. Its almost 100 kWh battery provides sufficient range and its 800 volt architecture ensures fast charging. The interior offers space for up to seven people with a high degree of variability. This makes it an ideal car for families. However, its length of five meters, its width of almost two meters (!) and a weight of at least 2.5 tons no longer fit into a time when space in cities is becoming increasingly limited.
Peugeot 3008
In the electric version of the Peugeot 3008, there is no need to worry about range; you can drive up to 700 kilometers electrically. There is also a smaller battery to choose from; it is more than sufficient, also due to the good charging performance. The interior with its new i-Cockpit and large curved display looks good, the driving performance leaves nothing to be desired, and the 3008 is available with all-wheel drive and as a hybrid version.
Renault Scenic
The new model no longer has much in common with the original Scenic. It is more like a larger Megané. Nevertheless, it is a good vehicle for families looking for space. The Scenic offers an appealing interior with a high feel-good factor. The drive and range are just as impressive as the efficiency and attractive price. The French have also placed great emphasis on sustainability. Only the charging capacity could be higher.
Toyota C-HR
If you are looking for a car with an expressive design, the C-HR is the right choice. It is not a mainstream model. However, this takes its toll with limited space in the rear. At the same time, visibility to the rear is restricted. When driving, the CVT gearbox is annoying with its background noise; the PHEV is more superior. Ultimately, the Toyota offers too few innovations, and the price is also quite high.
Volvo EX30
The EX30 is compact, powerful and pursues a consistent sustainability approach. Its driving dynamics are impressive in everyday use and at a sporty pace. The fact that there is only one display in the center of the dashboard is irritating. The same applies to the window openers on the center console. The space in the rear is manageable. An attractive entry-level price also speaks for the EX30."
Greece,Helen Xenakis,3,3,5,2,7,1,4,https://www.caroftheyear.org/votaciones/helen-xenakis.php?1726491866,"My judgement is based on following grounds:
BMW 5-series
In my opinion, the current 5-series is the best ever and undoubtedly the finest car in its class. It can easily compete with models in the higher class (in terms of cost as well), as it is loaded with advanced technology and is also quite spacious. Due to its size, it may not be suitable for everyday use, and as a result, it prioritizes comfort over driving pleasure, which is a first for the 5-series.
BYD Seal
BYD, like other Chinese manufacturers, is expanding its presence in Europe by offering a range of high-tech and cost-effective vehicles. However, with competition from both Tesla and Korean automakers, the BYD Seal faces a challenging task. Although it is a well-rounded vehicle, it falls behind its competitors in areas such as road handling and design, which is reminiscent of cars that have been on the market for several years.
Kia EV9
The EV9 is not only about technology; it is highly versatile, offering options for five to seven seats. It comes well-equipped as standard and has an impressive range. However, it can be expensive when compared to some of the more luxurious competitors. Additionally, the ride can sometimes be less smooth due to its large wheels being unable to filter out bumpy surfaces.
Peugeot 3008
What impresses me the most about the new 3008 is how much it has changed compared to its predecessor. The car's exterior design and road handling have both been improved, giving it a sportier feel, although it may not be as smooth as its predecessor. On the other hand, it falls behind its competitors in terms of interior space. Despite this, the 3008 still appeals to a wide range of drivers as it offers both internal combustion and EV options.
Renault Scenic
The Scenic E-tech is one of the most complete offerings in the electric SUV segment. It offers a convenient battery option, promises a good range, and provides ample space for all passengers. However, it doesn't really offer anything new that sets it apart from the Megane, which was launched two years ago. Moreover, I don't have any information about its price since it won't be launched in my country until 2025.
Toyota C-HR
The only car among the finalists that does not have an all-electric version, but that now has a plug-in version with sufficient electric range, making it the perfect choice for those seeking economic efficiency. Additionally, limited space for rear passengers has been shown not to affect buyers. Overall, it stands out among its competitors as the most practical option for everyday use.
Volvo EX30
Electric cars are no longer a futuristic dream, but I consider the Volvo EX30 a special vehicle. It stands out in every aspect, including its unique lack of switches in the interior, which gives it an edge over its competitors. Additionally, its overall quality is exceptional, making it a top contender in its class. The 2WD and 4WD models' performance is impressive, and the ride quality is excellent. On top of these, its price cannot be underestimated."
Hungary,Zsolt Csikós,6,5,1,3,4,5,1,https://www.caroftheyear.org/votaciones/zsolt-csikos.php?1726491866,"My judgement is based on following grounds:
BMW 5-series
There is a version here for everyone: petrol, diesel, hybrid, PHEV and electric, RWD and AWD clad in sedan or station wagon bodies. The most car-like contender this year: there is real driving enjoyment to be had with the ICE variants; the BEV is a bit more blunt, but has good range. Ride comfort is incredible, levels of self-driving are at a new level, and compared to its rivals the price is right.
BYD Seal
The BYD Seal makes one understand why Chinese cars are gaining popularity. It brings real technological novelties: the cobalt-free blade LFP battery which is highly resistant to fire hazards and has a long life, the 8-in-1 compact power train. The Seal has proper performance, good road holding, a long range, a comfy interior, it is well-specced, affordably priced and quality is also high.
Kia EV9
The EV9 is vast, powerful, crammed with features, boldly styled and has a battery with the capacity to power a smaller city. You either get a real seven-seater configuration or may choose a six seater with four motorized lounge chairs. The car hides its 2.6 tons: it rides and drives well, although it is far from being a sports car. And for the heavy price we'd expect a higher quality finish inside.
Peugeot 3008
The new 3008 series probably has the most daring, coherent interior here. The line-up includes a mild hybrid ICE, a PHEV and a BEV version. The exterior design is outstanding, too, noise levels are low, ride comfort is high and there's a version with a 98 kWh battery. But the car isn't spacious in the second row, even the base model is overly heavy - you can feel this -, the price is also very high.
Renault Scenic
Here is the best package of qualities this year. An exceptionally roomy, comfortable car boasting a high-quality interior. Extremely low on weight, pleasant to drive, good to look at, giving agreeable verve from a right-sized motor, plus an acceptably long range given the size of the battery packs available. A car that uses the earth's resources wisely, one that is eminently usable and affordable, too.
Toyota C-HR
Toyota says 85% of customers still buy ICE-powered cars, and for them the C-HR is a really good choice. Especially the PHEV, which doesn't show the rubber-band CVT effect the hybrid versions do, although it also costs more than many pure BEV's. Quality and road holding have gone up, noise levels down, but the C-HR is still a dark prison cell for its rear occupants. And we don't see real innovation here.
Volvo EX30
Funky, lively on the road, the EX30 BEV has the best design, the strongest character of all cars this year. The interior is simple but tasty, well-built and practical. There is a hugely powerful and quick twin-motor version, but the real deal is the one with RWD and an LFP battery - it costs less than most PHEV-s. But range is below average, the boot is small and space is very tight in the second row."
,Miklos Gajdan,7,2,2,3,4,5,2,https://www.caroftheyear.org/votaciones/miklos-gajdan.php?1726491866,"My judgement is based on following grounds:
BMW 5-series
The new BMW 5-series offers customers the widest range of choice. There are two body styles, sedan and station wagon, and a broad choice of powertrains - petrol, diesel, plug-in hybrid and now even two battery-electric. The 5-series offers first-class refinement and comfort, agile handling, an excellent infotainment system and modern assistants, including advanced self-driving capabilities.
BYD Seal
The BYD Seal offers its consumers exceptional value for money. For similar price than of an internal combustion engine car with comparable performance, the consumer gets a battery electric car with spacious, high-quality and very well-equipped interior, up to date infotainment system, two powerful powertrain choices, good range, agile handling, and a lot of assistance systems.
Kia EV9
The Kia EV9 is the largest and most luxurious model of the Korean brand. And yes, it is electric with good range and fast charging! Its large size is justified by the fact that its spacious, versatile, comfortable, luxuriously equipped and quiet passenger compartment can accommodate six or even seven people. Users will like its comfortable ride and very easy to use modern infotainment system.
Peugeot 3008
The attractive looking Peugeot E-3008 is the perfect electric car for family trips. Even over long distances, and not only because it has the option of a large battery, but also because its powertrain is economical. And also because its interior is strikingly stylish, high-quality, well equipped, comfortable and quiet, it has a nice and user friendly multimedia system, and rides well.
Renault Scenic
The new all-electric Renault Scenic is one of the best all-round electric cars. The interior, which is very spacious even in the second row, is attractive, well-made and well-equipped and the boot is huge. Due to its low consumption, it has a long range with the larger capacity battery. Its balanced suspension ensures a comfortable ride and agile handling. And it is offered at an affordable price.
Toyota C-HR
The new Toyota C-HR is one of the best choices for those who are not yet ready for the electric age, but are looking for an extremely economical and easy-to-operate car with outstanding looks, beautiful, well-finished and quiet interior, smooth ride and agile handling. Maybe the best choice for them from the four hybrid powertrains is the new PHEV version with relatively long electric range.
Volvo EX30
Volvo's brand new small electric SUV leaves its rivals standing in at least two respects. One is the shockingly low price of its entry-level model, and the other is its acceleration ability which even surpasses of many sports cars. It has brilliant ride and handling balance, attractive, well-finished and well-equipped interior with lots of storage space. And last but not least fun to drive it."
